16 2.77585970e-02
16 2.90909740e-02
16 2.78428680e-02
16 2.97411110e-02
16 2.78449920e-02
16 2.97407900e-02
16 2.77587710e-02
16 2.90936280e-02
64 2.18732140e-02
64 2.18751970e-02
64 2.18743380e-02
64 2.18760470e-02
64 2.18754690e-02
64 2.18719120e-02
64 2.18710080e-02
64 2.18731070e-02
256 2.33439330e-02
256 2.33438780e-02
256 2.33440050e-02
256 2.33442500e-02
256 2.33451380e-02
256 2.33440050e-02
256 2.33446380e-02
256 2.33451360e-02
1024 2.69268320e-02
1024 2.69274010e-02
1024 2.69276310e-02
1024 2.69272020e-02
1024 2.69291820e-02
1024 2.69297800e-02
1024 2.69292490e-02
1024 2.69296720e-02
4096 6.09786680e-02
4096 6.09790510e-02
4096 6.09785700e-02
4096 6.09783620e-02
4096 6.09781340e-02
4096 6.09785530e-02
4096 6.09787800e-02
4096 6.09778110e-02
